지역,온도,습도
강릉,9.0,59
강화,14.2,37
거제,7.8,88
거창,7.1,68
경주시,7.8,78
고산,10.9,72
고창,12.6,49
고창군,13.7,46
고흥,9.1,68
광양시,9.4,64
광주,11.5,54
구미,8.7,62
군산,13.8,42
금산,10.0,53
김해시,7.4,83
남원,9.5,62
남해,8.1,79
대관령,2.6,71
대구,8.9,61
대전,12.9,41
동두천,15.1,21
동해,6.9,76
목포,10.7,65
문경,10.3,45
밀양,8.7,62
백령도,6.8,56
보령,15.0,48
보성군,10.7,62
보은,10.6,48
봉화,7.9,50
부산,8.1,85
부안,14.1,44
부여,13.6,44
북강릉,8.5,59
북부산,8.7,74
북창원,8.8,80
북춘천,14.7,23
산청,7.9,68
상주,10.1,50
서귀포,10.2,80
서산,14.0,43
서울,17.1,25
서청주,13.9,39
성산,9.6,88
세종,13.5,39
속초,8.5,62
수원,15.3,35
순창군,10.0,54
순천,10.7,46
안동,8.8,54
양산시,7.7,89
양평,14.9,26
여수,8.2,70
영광군,12.9,47
영덕,8.1,66
영월,12.3,34
영주,9.1,44
영천,8.6,62
완도,9.2,72
울릉도,6.2,69
울산,7.1,82
울진,8.3,60
원주,15.0,28
의령군,9.7,69
의성,8.3,65
이천,15.2,29
인제,11.4,41
인천,15.3,30
임실,10.1,53
장수,6.7,66
장흥,10.4,59
전주,13.2,44
정선군,9.6,39
정읍,13.9,43
제주,9.6,79
제천,11.2,42
진도군,10.9,61
진주,8.8,68
창원,8.2,78
천안,13.2,39
철원,15.4,21
청송군,5.4,74
청주,13.3,34
추풍령,8.0,57
춘천,15.4,24
충주,13.4,33
태백,3.0,66
통영,7.3,91
파주,15.1,29
포항,9.6,61
함양군,8.0,67
합천,9.2,69
해남,10.6,67
홍성,14.6,39
홍천,14.8,26
흑산도,10.0,80
